id,room_id,start_at,end_at,user_id,rssi
1475,1,2022-10-13 12:07:23,2022-10-13 13:58:53,5,-80
1476,1,2022-10-13 12:11:56,2022-10-13 14:35:19,4,-74
1477,1,2022-10-13 13:58:53,2022-10-13 14:42:11,2,-69
1478,1,2022-10-13 14:01:10,2022-10-13 14:39:53,5,-88
1479,1,2022-10-13 14:26:11,2022-10-13 15:23:16,20,-67
1480,1,2022-10-13 14:28:29,2022-10-13 14:46:45,7,-64
1481,1,2022-10-13 14:37:36,2022-10-13 17:53:22,4,-64
1482,1,2022-10-13 14:39:54,2022-10-13 14:51:18,22,-86
1483,1,2022-10-13 14:44:28,2022-10-13 17:12:26,2,-64
1484,1,2022-10-13 14:53:35,2022-10-13 15:25:33,22,-75
1485,1,2022-10-13 17:14:43,2022-10-13 17:53:23,2,-66
1486,1,2022-10-14 08:02:35,2022-10-14 08:11:04,1,-79
1487,5,2022-10-14 08:11:05,2022-10-14 20:13:09,1,-77
1488,1,2022-10-14 09:58:25,2022-10-14 12:30:52,18,-80
1489,1,2022-10-14 11:15:41,2022-10-14 13:52:54,11,-71
1490,1,2022-10-14 12:03:26,2022-10-14 12:26:18,17,-73
1491,1,2022-10-14 12:24:01,2022-10-14 13:00:27,7,-65
1492,1,2022-10-14 12:28:35,2022-10-14 16:30:24,17,-74
1493,1,2022-10-14 12:33:09,2022-10-14 13:55:11,18,-73
1494,3,2022-10-14 13:03:16,2022-10-14 13:05:01,7,-89
1495,1,2022-10-14 13:05:01,2022-10-14 13:48:19,7,-67
1496,1,2022-10-14 13:14:08,2022-10-14 13:27:48,2,-88
1497,1,2022-10-14 13:30:05,2022-10-14 14:38:31,2,-66
1498,1,2022-10-14 13:36:55,2022-10-14 15:21:55,16,-73
1499,1,2022-10-14 13:50:36,2022-10-14 14:40:49,7,-74
1500,1,2022-10-14 13:50:37,2022-10-14 14:36:14,4,-68
1501,1,2022-10-14 13:55:12,2022-10-14 14:59:04,11,-68
1502,1,2022-10-14 13:57:29,2022-10-14 14:52:13,18,-79
1503,1,2022-10-14 14:38:32,2022-10-14 16:23:32,4,-72
1504,1,2022-10-14 14:40:49,2022-10-14 15:47:01,2,-65
1505,1,2022-10-14 14:54:30,2022-10-14 15:47:01,18,-79
1506,1,2022-10-14 15:01:21,2022-10-14 16:23:32,11,-73
1507,1,2022-10-14 15:24:12,2022-10-14 16:07:33,16,-68
1508,1,2022-10-14 15:44:44,2022-10-14 16:34:58,25,-76
1509,1,2022-10-14 15:49:19,2022-10-14 15:58:26,18,-81
1510,1,2022-10-14 15:49:19,2022-10-14 17:18:14,2,-77
1511,1,2022-10-14 16:00:43,2022-10-14 16:09:50,18,-79
1512,1,2022-10-14 16:09:51,2022-10-14 16:16:41,16,-65
1513,1,2022-10-14 16:12:08,2022-10-14 16:28:07,18,-76
1514,1,2022-10-14 16:18:58,2022-10-14 17:00:03,16,-74
1515,1,2022-10-14 16:25:49,2022-10-14 18:19:39,4,-69
1516,1,2022-10-14 16:25:50,2022-10-14 16:50:55,11,-77
1517,1,2022-10-14 16:30:24,2022-10-14 16:34:59,18,-76
1518,1,2022-10-14 16:32:41,2022-10-14 16:46:22,17,-69
1519,1,2022-10-14 16:48:39,2022-10-14 16:55:29,17,-69
1520,1,2022-10-14 16:53:13,2022-10-14 18:19:39,11,-84
1521,1,2022-10-14 17:20:31,2022-10-14 18:19:39,2,-71
1522,1,2022-10-17 08:05:54,2022-10-17 08:09:48,1,-87
1523,5,2022-10-17 08:09:48,2022-10-17 12:02:20,1,-79
1524,1,2022-10-17 08:24:05,2022-10-17 17:50:04,15,-69
1525,1,2022-10-17 12:11:21,2022-10-17 12:15:54,17,-63
1526,1,2022-10-17 13:53:36,2022-10-17 14:27:43,23,-59
1527,1,2022-10-17 16:09:57,2022-10-17 18:01:27,6,-79
1528,1,2022-10-17 16:12:14,2022-10-17 18:01:28,4,-72
1529,1,2022-10-17 16:14:31,2022-10-17 16:25:54,5,-76
1530,1,2022-10-17 16:28:11,2022-10-17 17:43:14,22,-77
1531,1,2022-10-17 16:41:50,2022-10-17 18:01:28,5,-71
1532,1,2022-10-17 17:45:31,2022-10-17 19:09:39,22,-80
1533,1,2022-10-17 17:54:38,2022-10-17 18:10:34,15,-67
1534,1,2022-10-17 18:12:51,2022-10-17 22:29:39,15,-73
1535,1,2022-10-17 19:18:45,2022-10-17 19:21:02,4,-95
1536,1,2022-10-17 19:18:45,2022-10-17 19:21:02,6,-74
